"filename", "language", "JSON", "XML", "PHP", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\README.md", "Markdown", 0, 0, 0, 0, 0, 39, 0, 21, 60
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Admin\DataStudents.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 7, 29
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Admin\DataTeachers.php", "PHP", 0, 0, 60, 0, 0, 0, 1, 13, 74
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Area\AreasController.php", "PHP", 0, 0, 42, 0, 0, 0, 16, 12, 70
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\DataUserController.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\ForgotPasswordController.php", "PHP", 0, 0, 75, 0, 0, 0, 0, 21, 96
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LoginAdminController.php", "PHP", 0, 0, 39, 0, 0, 0, 2, 13, 54
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LoginStudentController.php", "PHP", 0, 0, 26, 0, 0, 0, 1, 12, 39
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LoginTeacherAuthorizedController.php", "PHP", 0, 0, 38, 0, 0, 0, 2, 12, 52
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LoginTeacherController.php", "PHP", 0, 0, 25, 0, 0, 0, 1, 9, 35
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LogoutController.php", "PHP", 0, 0, 21, 0, 0, 0, 3, 8, 32
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\RegisterAdminController.php", "PHP", 0, 0, 34, 0, 0, 0, 1, 9, 44
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\RegisterStudentController.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 10, 42
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\RegisterTeacherController.php", "PHP", 0, 0, 40, 0, 0, 0, 1, 14, 55
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\UserEditData.php", "PHP", 0, 0, 40, 0, 0, 0, 4, 14, 58
"c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Course\ActivityCourse\ActivityCourseController.php", "PHP", 0, 0, 135, 0, 0, 0, 1, 36, 172
