Date : 2026-06-05 08:21:36
Directory : c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api
Total : 128 files,  13175 codes, 1062 comments, 1265 blanks, all 15502 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |      8,580 |          0 |          3 |      8,583 |
| PHP        |        119 |      4,491 |      1,062 |      1,232 |      6,785 |
| Markdown   |          1 |         39 |          0 |         21 |         60 |
| XML        |          1 |         35 |          0 |          1 |         36 |
| JavaScript |          3 |         21 |          0 |          5 |         26 |
| CSS        |          1 |          9 |          0 |          3 |         12 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        128 |     13,175 |      1,062 |      1,265 |     15,502 |
| . (Files)                                                                                                                                         |          6 |      8,671 |          0 |         27 |      8,698 |
| app                                                                                                                                               |         62 |      2,351 |        236 |        697 |      3,284 |
| app\Http                                                                                                                                          |         46 |      1,822 |        197 |        527 |      2,546 |
| app\Http\Controllers                                                                                                                              |         26 |      1,298 |         98 |        388 |      1,784 |
| app\Http\Controllers (Files)                                                                                                                      |          1 |          5 |          1 |          3 |          9 |
| app\Http\Controllers\Api                                                                                                                          |         25 |      1,293 |         97 |        385 |      1,775 |
| app\Http\Controllers\Api\Admin                                                                                                                    |          2 |         82 |          1 |         20 |        103 |
| app\Http\Controllers\Api\Area                                                                                                                     |          1 |         42 |         16 |         12 |         70 |
| app\Http\Controllers\Api\Auth                                                                                                                     |         11 |        380 |         15 |        126 |        521 |
| app\Http\Controllers\Api\Course                                                                                                                   |          4 |        442 |         29 |        113 |        584 |
| app\Http\Controllers\Api\Course (Files)                                                                                                           |          1 |        147 |         15 |         41 |        203 |
| app\Http\Controllers\Api\Course\ActivityCourse                                                                                                    |          2 |        175 |          2 |         48 |        225 |
| app\Http\Controllers\Api\Course\ClassCourse                                                                                                       |          1 |        120 |         12 |         24 |        156 |
| app\Http\Controllers\Api\Email                                                                                                                    |          1 |          6 |          1 |          6 |         13 |
| app\Http\Controllers\Api\Enrollment                                                                                                               |          1 |         29 |          1 |         11 |         41 |
| app\Http\Controllers\Api\StudyPlan                                                                                                                |          1 |         56 |          1 |         12 |         69 |
| app\Http\Controllers\Api\Teacher                                                                                                                  |          3 |        135 |         21 |         48 |        204 |
| app\Http\Controllers\Api\Vacancy                                                                                                                  |          1 |        121 |         12 |         37 |        170 |
| app\Http\Middleware                                                                                                                               |          2 |         39 |         10 |         13 |         62 |
| app\Http\Requests                                                                                                                                 |         10 |        268 |         73 |         71 |        412 |
| app\Http\Resources                                                                                                                                |          8 |        217 |         16 |         55 |        288 |
| app\Mail                                                                                                                                          |          2 |         71 |          0 |         17 |         88 |
| app\Models                                                                                                                                        |         13 |        438 |         32 |        148 |        618 |
| app\Providers                                                                                                                                     |          1 |         20 |          7 |          5 |         32 |
| bootstrap                                                                                                                                         |          2 |         42 |          1 |         13 |         56 |
| config                                                                                                                                            |         12 |        557 |        612 |        221 |      1,390 |
| database                                                                                                                                          |         29 |      1,006 |        140 |        177 |      1,323 |
| database\factories                                                                                                                                |          2 |         38 |         14 |         12 |         64 |
| database\migrations                                                                                                                               |         18 |        504 |        116 |        110 |        730 |
| database\seeders                                                                                                                                  |          9 |        464 |         10 |         55 |        529 |
| lang                                                                                                                                              |          5 |        257 |         60 |         28 |        345 |
| lang\en                                                                                                                                           |          4 |        181 |         60 |         24 |        265 |
| lang\pt-BR                                                                                                                                        |          1 |         76 |          0 |          4 |         80 |
| public                                                                                                                                            |          1 |         10 |          4 |          7 |         21 |
| resources                                                                                                                                         |          5 |        122 |          0 |         28 |        150 |
| resources\css                                                                                                                                     |          1 |          9 |          0 |          3 |         12 |
| resources\js                                                                                                                                      |          2 |          4 |          0 |          3 |          7 |
| resources\views                                                                                                                                   |          2 |        109 |          0 |         22 |        131 |
| resources\views\emails                                                                                                                            |          2 |        109 |          0 |         22 |        131 |
| routes                                                                                                                                            |          3 |        132 |          1 |         54 |        187 |
| tests                                                                                                                                             |          3 |         27 |          8 |         13 |         48 |
| tests (Files)                                                                                                                                     |          1 |          6 |          1 |          4 |         11 |
| tests\Feature                                                                                                                                     |          1 |         11 |          4 |          5 |         20 |
| tests\Unit                                                                                                                                        |          1 |         10 |          3 |          4 |         17 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\README.md                                                                      | Markdown   |         39 |          0 |         21 |         60 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Admin\DataStudents.php                                | PHP        |         22 |          0 |          7 |         29 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Admin\DataTeachers.php                                | PHP        |         60 |          1 |         13 |         74 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Area\AreasController.php                              | PHP        |         42 |         16 |         12 |         70 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\DataUserController.php                           | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\ForgotPasswordController.php                     | PHP        |         75 |          0 |         21 |         96 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LoginAdminController.php                         | PHP        |         39 |          2 |         13 |         54 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LoginStudentController.php                       | PHP        |         26 |          1 |         12 |         39 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LoginTeacherAuthorizedController.php             | PHP        |         38 |          2 |         12 |         52 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LoginTeacherController.php                       | PHP        |         25 |          1 |          9 |         35 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\LogoutController.php                             | PHP        |         21 |          3 |          8 |         32 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\RegisterAdminController.php                      | PHP        |         34 |          1 |          9 |         44 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\RegisterStudentController.php                    | PHP        |         32 |          0 |         10 |         42 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\RegisterTeacherController.php                    | PHP        |         40 |          1 |         14 |         55 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Auth\UserEditData.php                                 | PHP        |         40 |          4 |         14 |         58 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Course\ActivityCourse\ActivityCourseController.php    | PHP        |        135 |          1 |         36 |        172 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Course\ActivityCourse\AnswersCourseController.php     | PHP        |         40 |          1 |         12 |         53 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Course\ClassCourse\ClassCourseController.php          | PHP        |        120 |         12 |         24 |        156 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Course\CourseController.php                           | PHP        |        147 |         15 |         41 |        203 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Email\SendEmailController.php                         | PHP        |          6 |          1 |          6 |         13 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Enrollment\EnrollmentController.php                   | PHP        |         29 |          1 |         11 |         41 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\StudyPlan\StudyPlanController.php                     | PHP        |         56 |          1 |         12 |         69 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Teacher\ActionCurriculumController.php                | PHP        |         42 |          2 |         19 |         63 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Teacher\CurriculumController.php                      | PHP        |         63 |         18 |         19 |        100 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Teacher\DashboardTeacherController.php                | PHP        |         30 |          1 |         10 |         41 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Api\Vacancy\VacancyController.php                         | PHP        |        121 |         12 |         37 |        170 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Controllers\Controller.php                                            | PHP        |          5 |          1 |          3 |          9 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Middleware\AttachBearerTokenFromCookie.php                            | PHP        |         21 |          5 |          5 |         31 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Middleware\RoleMiddleware.php                                         | PHP        |         18 |          5 |          8 |         31 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\ActivityCourseRequest.php                                    | PHP        |         45 |          8 |         11 |         64 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\AreaRequest.php                                              | PHP        |         16 |          8 |          5 |         29 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\ClassCourseRequest.php                                       | PHP        |         20 |          8 |          5 |         33 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\CourseRequest.php                                            | PHP        |         43 |          8 |         11 |         62 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\CurriculumRequest.php                                        | PHP        |         39 |          0 |         12 |         51 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\EditPassword.php                                             | PHP        |         26 |          8 |          6 |         40 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\LoginRequest.php                                             | PHP        |         17 |          8 |          5 |         30 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\RegisterStudentRequest.php                                   | PHP        |         20 |          8 |          6 |         34 |
| c:\Users\Usuario\Desktop\tcc-schengenrs\back-end_tcc_schengers-api\app\Http\Requests\RegisterTeacherRequest.php                                   | PHP        |         20 |          8 |          5 |         33 |
